epoch: E01   gen: 205   avg_fitness: 47452536	   max_fitness: 215105883	   winner: CROSS      
epoch: E01   gen: 206   avg_fitness: 29719931	   max_fitness: 207473273	   winner: MUTANT  0.07   
epoch: E01   gen: 207   avg_fitness: 28534764	   max_fitness: 174767416	   winner: PARENT      
epoch: E01   gen: 208   avg_fitness: 18737120	   max_fitness: 89208638	   winner: MUTANT  0.05   
epoch: E01   gen: 209   avg_fitness: 42613499	   max_fitness: 294558105	   winner: PARENT      
epoch: E01   gen: 210   avg_fitness: 51947014	   max_fitness: 413930595	   winner: MUTANT  0.08   
epoch: E01   gen: 211   avg_fitness: 83	   max_fitness: 1023	   winner: MUTANT  0.1   
epoch: E01   gen: 212   avg_fitness: 2418	   max_fitness: 34952	   winner: NEWSPEC  0.49  0.65
epoch: E01   gen: 213   avg_fitness: 12051	   max_fitness: 114977	   winner: MUTANT  0.16   
epoch: E01   gen: 214   avg_fitness: 41742	   max_fitness: 478170	   winner: MUTANT  0.11   
epoch: E01   gen: 215   avg_fitness: 184642	   max_fitness: 1403227	   winner: PARENT      
epoch: E01   gen: 216   avg_fitness: 1757262	   max_fitness: 31467482	   winner: PARENT      
epoch: E01   gen: 217   avg_fitness: 465365	   max_fitness: 4337056	   winner: MUTANT  0.06   
epoch: E01   gen: 218   avg_fitness: 1199371	   max_fitness: 17807896	   winner: MUTANT  0.19   
epoch: E01   gen: 219   avg_fitness: 357348	   max_fitness: 2864752	   winner: MUTANT  0.11   
epoch: E01   gen: 220   avg_fitness: 1847262	   max_fitness: 8099948	   winner: MUTANT  0.12   
epoch: E01   gen: 221   avg_fitness: 1528393	   max_fitness: 11401330	   winner: PARENT      
epoch: E01   gen: 222   avg_fitness: 1134130	   max_fitness: 4139777	   winner: PARENT      
epoch: E01   gen: 223   avg_fitness: 2088507	   max_fitness: 19730233	   winner: MUTANT  0.17   
epoch: E01   gen: 224   avg_fitness: 145275	   max_fitness: 1077996	   winner: PARENT      
epoch: E01   gen: 225   avg_fitness: 766942	   max_fitness: 9425273	   winner: PARENT      
epoch: E01   gen: 226   avg_fitness: 1124352	   max_fitness: 13209305	   winner: MUTANT  0.06   
epoch: E01   gen: 227   avg_fitness: 3231166	   max_fitness: 21019820	   winner: NEWSPEC  0.71  0.94
epoch: E01   gen: 228   avg_fitness: 1650191	   max_fitness: 9132501	   winner: PARENT      
epoch: E01   gen: 229   avg_fitness: 3735708	   max_fitness: 27062115	   winner: MUTANT  0.16   
epoch: E01   gen: 230   avg_fitness: 1360687	   max_fitness: 5602258	   winner: MUTANT  0.06   
epoch: E01   gen: 231   avg_fitness: 3362598	   max_fitness: 35170223	   winner: PARENT      
epoch: E01   gen: 232   avg_fitness: 2169744	   max_fitness: 14085694	   winner: PARENT      
epoch: E01   gen: 233   avg_fitness: 4291141	   max_fitness: 24316693	   winner: CROSS      
epoch: E01   gen: 234   avg_fitness: 2026571	   max_fitness: 12203359	   winner: MUTANT  0.07   
epoch: E01   gen: 235   avg_fitness: 3056491	   max_fitness: 15044872	   winner: PARENT      
epoch: E01   gen: 236   avg_fitness: 1599709	   max_fitness: 11116019	   winner: PARENT      
epoch: E01   gen: 237   avg_fitness: 1747831	   max_fitness: 17358371	   winner: PARENT      
epoch: E01   gen: 238   avg_fitness: 2850086	   max_fitness: 20886650	   winner: PARENT      
epoch: E01   gen: 239   avg_fitness: 1734091	   max_fitness: 13108898	   winner: PARENT      
epoch: E01   gen: 240   avg_fitness: 2974054	   max_fitness: 15679434	   winner: PARENT      
epoch: E01   gen: 241   avg_fitness: 4571891	   max_fitness: 33007962	   winner: PARENT      
epoch: E01   gen: 242   avg_fitness: 3487656	   max_fitness: 31195079	   winner: CROSS      
epoch: E01   gen: 243   avg_fitness: 7582923	   max_fitness: 44492297	   winner: PARENT      
epoch: E01   gen: 244   avg_fitness: 2648905	   max_fitness: 21971754	   winner: CROSS      
epoch: E01   gen: 245   avg_fitness: 10078616	   max_fitness: 54659254	   winner: MUTANT  0.11   
epoch: E01   gen: 246   avg_fitness: 7278055	   max_fitness: 63759058	   winner: CROSS      
epoch: E01   gen: 247   avg_fitness: 11047270	   max_fitness: 46688484	   winner: NEWSPEC  0.6  0.96
epoch: E01   gen: 248   avg_fitness: 12025221	   max_fitness: 171551812	   winner: MUTANT  0.19   
epoch: E01   gen: 249   avg_fitness: 23977019	   max_fitness: 126993925	   winner: PARENT      
epoch: E01   gen: 250   avg_fitness: 17188206	   max_fitness: 118944961	   winner: PARENT      
epoch: E01   gen: 251   avg_fitness: 13619622	   max_fitness: 120787324	   winner: PARENT      
epoch: E01   gen: 252   avg_fitness: 19839902	   max_fitness: 173968856	   winner: PARENT      
epoch: E01   gen: 253   avg_fitness: 24796691	   max_fitness: 128793088	   winner: PARENT      
epoch: E01   gen: 254   avg_fitness: 30152481	   max_fitness: 150912307	   winner: PARENT      
epoch: E01   gen: 255   avg_fitness: 14667622	   max_fitness: 105753100	   winner: PARENT      
epoch: E01   gen: 256   avg_fitness: 7397680	   max_fitness: 125512228	   winner: CROSS      
epoch: E01   gen: 257   avg_fitness: 8800386	   max_fitness: 113397289	   winner: PARENT      
epoch: E01   gen: 258   avg_fitness: 15321245	   max_fitness: 152696776	   winner: PARENT      
epoch: E01   gen: 259   avg_fitness: 5340301	   max_fitness: 57200113	   winner: PARENT      
epoch: E01   gen: 260   avg_fitness: 13760152	   max_fitness: 128606874	   winner: PARENT      
epoch: E01   gen: 261   avg_fitness: 19699630	   max_fitness: 124073855	   winner: PARENT      
epoch: E01   gen: 262   avg_fitness: 20093294	   max_fitness: 145738816	   winner: PARENT      
epoch: E01   gen: 263   avg_fitness: 18816054	   max_fitness: 108078562	   winner: PARENT      
epoch: E01   gen: 264   avg_fitness: 19417858	   max_fitness: 105670077	   winner: MUTANT  0.09   
epoch: E01   gen: 265   avg_fitness: 14980707	   max_fitness: 117986412	   winner: MUTANT  0.05   
epoch: E01   gen: 266   avg_fitness: 15759677	   max_fitness: 163415353	   winner: PARENT      
epoch: E01   gen: 267   avg_fitness: 11663554	   max_fitness: 68861439	   winner: PARENT      
epoch: E01   gen: 268   avg_fitness: 25055810	   max_fitness: 130221623	   winner: CROSS      
epoch: E01   gen: 269   avg_fitness: 2606081	   max_fitness: 25664571	   winner: CROSS      
epoch: E01   gen: 270   avg_fitness: 5663568	   max_fitness: 30408143	   winner: PARENT      
epoch: E01   gen: 271   avg_fitness: 5882902	   max_fitness: 29795244	   winner: MUTANT  0.2   
epoch: E01   gen: 272   avg_fitness: 7581649	   max_fitness: 39515427	   winner: CROSS      
epoch: E01   gen: 273   avg_fitness: 10161002	   max_fitness: 43847880	   winner: PARENT      
epoch: E01   gen: 274   avg_fitness: 16428627	   max_fitness: 76424961	   winner: NEWSPEC  0.74  0.97
epoch: E01   gen: 275   avg_fitness: 3159002	   max_fitness: 57624663	   winner: CROSS      
epoch: E01   gen: 276   avg_fitness: 12656650	   max_fitness: 77584439	   winner: CROSS      
epoch: E01   gen: 277   avg_fitness: 5431257	   max_fitness: 38097633	   winner: MUTANT  0.17   
epoch: E01   gen: 278   avg_fitness: 14338979	   max_fitness: 160656974	   winner: CROSS      
epoch: E01   gen: 279   avg_fitness: 9654433	   max_fitness: 131092952	   winner: PARENT      
epoch: E01   gen: 280   avg_fitness: 3364115	   max_fitness: 26302662	   winner: PARENT      
epoch: E01   gen: 281   avg_fitness: 5895816	   max_fitness: 37308858	   winner: PARENT      
epoch: E01   gen: 282   avg_fitness: 5328178	   max_fitness: 49332353	   winner: PARENT      
epoch: E01   gen: 283   avg_fitness: 9169260	   max_fitness: 68730233	   winner: PARENT      
epoch: E01   gen: 284   avg_fitness: 10739161	   max_fitness: 67987470	   winner: PARENT      
epoch: E01   gen: 285   avg_fitness: 4648115	   max_fitness: 36245708	   winner: MUTANT  0.08   
epoch: E01   gen: 286   avg_fitness: 6462736	   max_fitness: 91488632	   winner: PARENT      
epoch: E01   gen: 287   avg_fitness: 7106551	   max_fitness: 39548148	   winner: PARENT      
epoch: E01   gen: 288   avg_fitness: 18324665	   max_fitness: 139233069	   winner: MUTANT  0.08   
epoch: E01   gen: 289   avg_fitness: 1345051	   max_fitness: 19415357	   winner: PARENT      
